Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
79c12d1fee8d,algorand-sandbox-algod,78.43%,167.2MiB,/,7.668GiB,2.13%,898kB,/,1.38MB,0B,/,164kB,23,1686369078.2057521
44b46bdded1c,algorand-sandbox-postgres,0.04%,19.93MiB,/,7.668GiB,0.25%,28.3kB,/,14.1kB,0B,/,217kB,9,1686369078.2057521
f131167c3e64,algorand-sandbox-indexer,0.00%,47.9MiB,/,7.668GiB,0.61%,43.9kB,/,63kB,0B,/,0B,10,1686369080.2205598
79c12d1fee8d,algorand-sandbox-algod,75.53%,173MiB,/,7.668GiB,2.20%,1.26MB,/,1.95MB,0B,/,164kB,23,1686369080.2205598
44b46bdded1c,algorand-sandbox-postgres,0.02%,20.18MiB,/,7.668GiB,0.26%,59.5kB,/,19.3kB,0B,/,217kB,9,1686369080.2205598
f131167c3e64,algorand-sandbox-indexer,0.83%,49.22MiB,/,7.668GiB,0.63%,58.7kB,/,92.6kB,0B,/,20.5kB,10,1686369082.23276
79c12d1fee8d,algorand-sandbox-algod,82.99%,173.6MiB,/,7.668GiB,2.21%,1.62MB,/,2.53MB,0B,/,184kB,23,1686369082.23276
44b46bdded1c,algorand-sandbox-postgres,0.53%,20.25MiB,/,7.668GiB,0.26%,88.6kB,/,24.4kB,0B,/,217kB,9,1686369082.23276
f131167c3e64,algorand-sandbox-indexer,0.00%,49.21MiB,/,7.668GiB,0.63%,58.7kB,/,92.6kB,0B,/,20.5kB,10,1686369084.245424
79c12d1fee8d,algorand-sandbox-algod,58.92%,173.7MiB,/,7.668GiB,2.21%,1.91MB,/,2.97MB,0B,/,184kB,23,1686369084.245424
44b46bdded1c,algorand-sandbox-postgres,0.04%,20.29MiB,/,7.668GiB,0.26%,88.6kB,/,24.4kB,0B,/,217kB,9,1686369084.245424
f131167c3e64,algorand-sandbox-indexer,0.69%,50.52MiB,/,7.668GiB,0.64%,73.4kB,/,120kB,0B,/,41kB,10,1686369086.260031
79c12d1fee8d,algorand-sandbox-algod,54.18%,174.5MiB,/,7.668GiB,2.22%,2.09MB,/,3.27MB,0B,/,238kB,23,1686369086.260031
44b46bdded1c,algorand-sandbox-postgres,0.45%,20.31MiB,/,7.668GiB,0.26%,115kB,/,29.4kB,0B,/,217kB,9,1686369086.260031
f131167c3e64,algorand-sandbox-indexer,0.00%,50.52MiB,/,7.668GiB,0.64%,73.4kB,/,120kB,0B,/,41kB,10,1686369088.2732852
79c12d1fee8d,algorand-sandbox-algod,30.96%,174.5MiB,/,7.668GiB,2.22%,2.19MB,/,3.43MB,0B,/,238kB,23,1686369088.2732852
44b46bdded1c,algorand-sandbox-postgres,0.08%,20.3MiB,/,7.668GiB,0.26%,115kB,/,29.4kB,0B,/,217kB,9,1686369088.2732852
f131167c3e64,algorand-sandbox-indexer,0.07%,47.28MiB,/,7.668GiB,0.60%,8.53kB,/,4.44kB,0B,/,0B,11,1686369095.1522791
79c12d1fee8d,algorand-sandbox-algod,17.59%,69.16MiB,/,7.668GiB,0.88%,2.6kB,/,4.52kB,0B,/,164kB,20,1686369095.1522791
44b46bdded1c,algorand-sandbox-postgres,0.16%,18.58MiB,/,7.668GiB,0.24%,2.84kB,/,2.63kB,0B,/,81.9kB,8,1686369095.1522791
f131167c3e64,algorand-sandbox-indexer,0.00%,47.46MiB,/,7.668GiB,0.60%,18.4kB,/,17.9kB,0B,/,0B,11,1686369097.15605
79c12d1fee8d,algorand-sandbox-algod,37.51%,137.4MiB,/,7.668GiB,1.75%,63.1kB,/,91.1kB,0B,/,164kB,22,1686369097.15605
44b46bdded1c,algorand-sandbox-postgres,0.07%,20.23MiB,/,7.668GiB,0.26%,15.7kB,/,8.81kB,0B,/,266kB,9,1686369097.15605
f131167c3e64,algorand-sandbox-indexer,0.54%,47.52MiB,/,7.668GiB,0.61%,27.6kB,/,30.2kB,0B,/,0B,11,1686369099.169899
79c12d1fee8d,algorand-sandbox-algod,91.96%,169.1MiB,/,7.668GiB,2.15%,386kB,/,585kB,0B,/,164kB,23,1686369099.169899
44b46bdded1c,algorand-sandbox-postgres,0.45%,20.23MiB,/,7.668GiB,0.26%,27.4kB,/,14.2kB,0B,/,266kB,9,1686369099.169899
f131167c3e64,algorand-sandbox-indexer,0.00%,47.52MiB,/,7.668GiB,0.61%,27.6kB,/,30.2kB,0B,/,0B,11,1686369101.1880279
79c12d1fee8d,algorand-sandbox-algod,81.98%,173.1MiB,/,7.668GiB,2.20%,716kB,/,1.1MB,0B,/,164kB,23,1686369101.1880279
44b46bdded1c,algorand-sandbox-postgres,0.04%,20.23MiB,/,7.668GiB,0.26%,27.4kB,/,14.2kB,0B,/,266kB,9,1686369101.1880279
f131167c3e64,algorand-sandbox-indexer,0.80%,49.02MiB,/,7.668GiB,0.62%,43.6kB,/,62.7kB,0B,/,0B,11,1686369103.19887
79c12d1fee8d,algorand-sandbox-algod,87.29%,185.7MiB,/,7.668GiB,2.37%,1.06MB,/,1.64MB,0B,/,164kB,24,1686369103.19887
44b46bdded1c,algorand-sandbox-postgres,0.52%,20.36MiB,/,7.668GiB,0.26%,59.3kB,/,19.3kB,0B,/,266kB,9,1686369103.19887
f131167c3e64,algorand-sandbox-indexer,0.00%,49.02MiB,/,7.668GiB,0.62%,43.6kB,/,62.7kB,0B,/,0B,11,1686369105.210712
79c12d1fee8d,algorand-sandbox-algod,78.90%,183.8MiB,/,7.668GiB,2.34%,1.36MB,/,2.12MB,0B,/,164kB,24,1686369105.210712
